feroxbuster -u http://metapress.htb -w /usr/share/wordlists/dirb/common.txt -t 200 -r

 ___  ___  __   __     __      __         __   ___
|__  |__  |__) |__) | /  `    /  \ \_/ | |  \ |__
|    |___ |  \ |  \ | \__,    \__/ / \ | |__/ |___
by Ben "epi" Risher 🤓                 ver: 2.11.0
───────────────────────────┬──────────────────────
 🎯  Target Url            │ http://metapress.htb
 🚀  Threads               │ 200
 📖  Wordlist              │ /usr/share/wordlists/dirb/common.txt
 👌  Status Codes          │ All Status Codes!
 💥  Timeout (secs)        │ 7
 🦡  User-Agent            │ feroxbuster/2.11.0
 💉  Config File           │ /home/pks/.config/feroxbuster/ferox-config.toml
 🔎  Extract Links         │ true
 🏁  HTTP methods          │ [GET]
 📍  Follow Redirects      │ true
 🔃  Recursion Depth       │ 4
───────────────────────────┴──────────────────────
 🏁  Press [ENTER] to use the Scan Management Menu™
──────────────────────────────────────────────────
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/~nobody
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/10
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/2009
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/100
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/1
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/07
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/05
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/08
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/_data
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/_vti_inf
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/_vti_cnf
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/_tmp
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/_vti_log
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/~mail
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/03
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/_tmpfileop
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/04
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/1001
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/_swf
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/~lp
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/_themes
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/_tempalbums
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/1000
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/00
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/01
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/_vti_map
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/~root
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/_adm
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/_resources
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/.htaccess
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/1992
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/~ftp
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/_dev
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/_files
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/_js
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/~guest
